Accession	Mann P	Student P	log2FC	c_median	a_median	a1	a2	a3	c1	c2	c3
P11166|GTR1_HUMAN	0.38273308888522595	0.44562751002299444	-0.22100115105538443	12.956888850927776	12.735887699872391	12.230657810537396	12.735887699872391	13.201731790450191	13.237548258176087	12.956888850927776	12.765246767030009
Q13630|FCL_HUMAN	1.0	0.37234987393009855	0.39773240821621414	15.045974467220315	15.44370687543653	15.002913024317634	15.44370687543653	16.41515312752434	15.462167920465719	15.045974467220315	15.026811511865654
Q13542|4EBP2_HUMAN	0.6625205835400574	0.9302846445477739	0.15212071176836162	10.19712059216475	10.34924130393311	10.283598242869012	10.34924130393311	10.504490794276322	10.954623565532405	10.06513894633806	10.19712059216475
Q9BVI4|NOC4L_HUMAN	0.38273308888522595	0.16509545025366773	-0.41463093713973187	12.176001592865996	11.761370655726264	11.761370655726264	12.204173278461328	11.3413816912052	12.176001592865996	12.104537067532585	12.344640837258089
M0R228|M0R228_HUMAN	1.0	0.7956696041966307	0.06855200750963242	11.364010849385568	11.432562856895201	11.229535351563579	11.432562856895201	12.038727960119498	11.333226253115262	11.364010849385568	11.770332538753856
O00743|PPP6_HUMAN	1.0	0.8024579039126077	0.12351730159670637	13.153955872793937	13.277473174390643	12.853132619452872	13.277473174390643	13.975545912408009	13.69986944178736	12.932516789238221	13.153955872793937
O14735|CDIPT_HUMAN	0.38273308888522595	0.27051638845032994	-0.2264617689607018	10.831163244248504	10.604701475287802	10.321217618087063	10.604701475287802	10.676811858642516	10.831163244248504	10.94090432038165	10.493458553466944
Q13137|CACO2_HUMAN	0.08085559837005224	0.060969570800771894	-3.2620691270182496	10.026617982285043	6.764548855266793	7.315777145291436	6.764548855266793	6.6824853734168865	7.5174703100382505	10.026617982285043	10.387611443370943
E7ETK0|E7ETK0_HUMAN	0.38273308888522595	0.17356950779885802	0.13071920497847245	15.660047997478813	15.790767202457285	15.790767202457285	15.763453241186674	15.850228099130337	15.660047997478813	15.810255169557896	15.61692203254567
P51692|STA5B_HUMAN	0.38273308888522595	0.43353292031980073	-0.03934715608105144	11.880942735659124	11.841595579578073	12.134150558136053	11.841595579578073	11.298092876601462	11.880942735659124	11.86671131997999	12.240519057397373
P30876|RPB2_HUMAN	0.08085559837005224	0.02045606461569197	-0.1532165218683712	13.956342303980676	13.803125782112305	13.804412089375653	13.803125782112305	13.73036186730782	13.999369167323943	13.956342303980676	13.87434205679187
Q92747|ARC1A_HUMAN	1.0	0.3785555950921676	0.04146991063313621	12.351611366661515	12.393081277294652	12.393081277294652	12.480978930414786	10.329706993733387	12.678378821595693	12.351611366661515	12.29015500061374
Q96QK1|VPS35_HUMAN	1.0	0.9502461092752263	0.12720494935656745	15.753168242339989	15.880373191696556	15.907194025112817	15.880373191696556	15.178462463511243	15.753168242339989	15.954737651205278	15.318591352975725
Q9UBQ5|EIF3K_HUMAN	1.0	0.8655335938953403	-0.147669513532529	14.418450317187109	14.27078080365458	14.143709967820275	14.27078080365458	14.740311135029922	14.268102129099105	14.418450317187109	14.57778019431593
A0A6Q8PG30|A0A6Q8PG30_HUMAN	0.19043026382552397	0.16388277009948307	-0.5605995288188641	12.759929054842354	12.19932952602349	12.19932952602349	12.080676698113082	12.387920721134815	12.78518704711783	12.759929054842354	12.199989371679072
